time(s),accel_true_x(m/s^2),accel_true_y(m/s^2),accel_true_z(m/s^2),accel_meas_x(m/s^2),accel_meas_y(m/s^2),accel_meas_z(m/s^2),quat_true_w,quat_true_x,quat_true_y,quat_true_z,quat_meas_w,quat_meas_x,quat_meas_y,quat_meas_z,inclin_true_pitch(rad),inclin_true_roll(rad),inclin_meas_pitch(rad),inclin_meas_roll(rad),euler_true_roll(rad),euler_true_pitch(rad),euler_true_yaw(rad)
0.0,0.0,0.0,-9.81,0.005263652002870965,0.0036809387069549363,-9.804211718942536,1.0,0.0,0.0,0.0,0.9984637036210807,-0.036231742148627004,0.026145848426369796,0.03277023073179936,0.0,0.0,0.0011351177269509072,-0.0001952383876044506,0.0,0.0,0.0
0.0025,0.0,0.0,-9.81,0.006012044671192459,0.002608631582954434,-9.806627665279576,1.0,0.0,0.0,0.0,0.9953142534552439,-0.08795876622906193,0.03281976956962479,0.023144222555282774,0.0,0.0,0.0009936682306310187,-0.0003126682005320213,0.0,0.0,0.0
0.005,0.0,0.0,-9.81,0.005055468154527894,0.004532782468811603,-9.805114774962382,1.0,0.0,0.0,0.0,0.9897662726589254,-0.11745514644614664,0.06351733198956568,0.050324572696638516,0.0,0.0,0.0011025179020808914,-0.00026104466440610385,0.0,0.0,0.0
0.0075,0.0,0.0,-9.81,0.003900967297245896,0.005940051416413549,-9.804179538891999,1.0,0.0,0.0,0.0,0.9935409442204755,-0.07781181266805408,0.08012334644486124,0.02004902295062275,0.0,0.0,0.0010949444876740652,-0.00028915151659269974,0.0,0.0,0.0
0.01,0.0,0.0,-9.81,0.004982718131029551,0.006231762900601375,-9.804544741504168,1.0,0.0,0.0,0.0,0.9878191678806906,-0.10955210332489373,0.10903882069727396,0.01794892212750915,0.0,0.0,0.0011418693645140333,-0.00020376115048570783,0.0,0.0,0.0
0.0125,0.0,0.0,-9.81,0.0038936127711864284,0.005339019672865101,-9.806223604821175,1.0,0.0,0.0,0.0,0.9792956287256055,-0.13329391746203584,0.15184598991685788,0.012473911684573848,0.0,0.0,0.0010992815534633486,-0.0001854640294145496,0.0,0.0,0.0
0.015,0.0,0.0,-9.81,0.00593893600463866,0.00484623720276918,-9.805312583001893,1.0,0.0,0.0,0.0,0.9736566508280922,-0.14714249917047842,0.17229575489553578,0.025612186182866023,0.0,0.0,0.001120302926142247,-0.00028947868913644173,0.0,0.0,0.0
0.0175,0.0,0.0,-9.81,0.004103545926236561,0.006343931155619333,-9.805276881200395,1.0,0.0,0.0,0.0,0.9618713652339069,-0.12843019030059993,0.24122320287212792,0.01097858636274724,0.0,0.0,0.001115131940128504,-0.0002946932165654483,0.0,0.0,0.0
0.02,0.0,0.0,-9.81,0.004400858153314023,0.004490538811075353,-9.804468472088603,1.0,0.0,0.0,0.0,0.9499137463084789,-0.1581465104944578,0.2646502865291273,0.0511251565539689,0.0,0.0,0.0011418197444426977,-0.00024710035557809387,0.0,0.0,0.0
0.0225,0.0,0.0,-9.81,0.00533512766375652,0.005390786283848478,-9.80458792367946,1.0,0.0,0.0,0.0,0.9502003533927921,-0.18863087317807414,0.23664549132876012,0.0744082893907665,0.0,0.0,0.0010861448235032025,-0.0002801396285636518,0.0,0.0,0.0
0.025,0.0,0.0,-9.81,0.007425719226224533,0.004426649525715307,-9.805697909692118,1.0,0.0,0.0,0.0,0.9600542992513436,-0.16663356881578614,0.209603203621027,0.08121264227033068,0.0,0.0,0.001159836309028656,-0.0002525773857522971,0.0,0.0,0.0
0.0275,0.0,0.0,-9.81,0.003947189498852248,0.005630007780371358,-9.803766199611466,1.0,0.0,0.0,0.0,0.9543989664704134,-0.15730951938152563,0.2379026833878935,0.08819660508772197,0.0,0.0,0.0010733970018999243,-0.00026292391058006255,0.0,0.0,0.0
0.03,0.0,0.0,-9.81,0.0047708838423402115,0.003916135826615104,-9.806065414390869,1.0,0.0,0.0,0.0,0.9525394941326402,-0.15083901763793645,0.2415564339327564,0.10754809203907884,0.0,0.0,0.0011236958380033992,-0.00022535163452672095,0.0,0.0,0.0
0.0325,0.0,0.0,-9.81,0.005670747711269673,0.005779810159506451,-9.804455707426204,1.0,0.0,0.0,0.0,0.9519121952481462,-0.17124426538979454,0.23764149184652317,0.08980587654448784,0.0,0.0,0.0011174348232319679,-0.00022192850602409484,0.0,0.0,0.0
0.035,0.0,0.0,-9.81,0.004121695074521207,0.005178253877249529,-9.804957660802641,1.0,0.0,0.0,0.0,0.9616065910249332,-0.12095944256527065,0.2113699801740838,0.1265081374177706,0.0,0.0,0.001207960600381734,-0.0002657660814881654,0.0,0.0,0.0
0.0375,0.0,0.0,-9.81,0.005162396478350048,0.005930671671645019,-9.804831828039092,1.0,0.0,0.0,0.0,0.9508002999860599,-0.13991287910745004,0.22879288988489319,0.15510315710649383,0.0,0.0,0.0010690032276487545,-0.0002870952814043783,0.0,0.0,0.0
0.04,0.0,0.0,-9.81,0.00570408126373562,0.004984540564788425,-9.804754706467742,1.0,0.0,0.0,0.0,0.9610945406055963,-0.11023531851870731,0.21321399713613937,0.1366940013110568,0.0,0.0,0.0011280768013692808,-0.00018537338997648436,0.0,0.0,0.0
0.0425,0.0,0.0,-9.81,0.0056480262418119615,0.0031899276000298803,-9.805471253021652,1.0,0.0,0.0,0.0,0.974861320457043,-0.11503490930881138,0.16542450706356826,0.09511628661716982,0.0,0.0,0.00108985791929279,-0.0002884767312566467,0.0,0.0,0.0
0.045,0.0,0.0,-9.81,0.00435137138589738,0.004153040772617586,-9.805418842429694,1.0,0.0,0.0,0.0,0.9715227748779001,-0.1005094544223945,0.17570930181900918,0.12315676481433738,0.0,0.0,0.00105265445871988,-0.00021042128227998093,0.0,0.0,0.0
0.0475,0.0,0.0,-9.81,0.0066645459233228834,0.003885916776829052,-9.803955336376646,1.0,0.0,0.0,0.0,0.9683768171772226,-0.09609964499325933,0.2002388504686503,0.11364682551164827,0.0,0.0,0.0011347408916238982,-0.00021604675000723168,0.0,0.0,0.0
0.05,0.0,0.0,-9.81,0.0029242622788081974,0.004510840319706742,-9.804903439642372,1.0,0.0,0.0,0.0,0.9706799451542935,-0.11776907740740561,0.18480666925403455,0.09877946892495533,0.0,0.0,0.001060978187435339,-0.00023233030254188913,0.0,0.0,0.0
0.0525,0.0,0.0,-9.81,0.00559498368400987,0.0057421136844161905,-9.80416123030417,1.0,0.0,0.0,0.0,0.9731268691849012,-0.10542748489501048,0.17633872424457347,0.10398940441651172,0.0,0.0,0.0011019338489034313,-0.00023303573284332854,0.0,0.0,0.0
0.055,0.0,0.0,-9.81,0.004494550589963588,0.004360811940033804,-9.80408516238776,1.0,0.0,0.0,0.0,0.9716353044445334,-0.08800729744207714,0.1960838128192511,0.09864425530250312,0.0,0.0,0.0011414520983393326,-0.00023277880543502534,0.0,0.0,0.0
0.0575,0.0,0.0,-9.81,0.004679834809614339,0.0034035171974312658,-9.806428879050882,1.0,0.0,0.0,0.0,0.9844376969991661,-0.09345037249920599,0.1405335654880763,0.04898740223717013,0.0,0.0,0.0011313720252600055,-0.00024094780918774509,0.0,0.0,0.0
0.06,0.0,0.0,-9.81,0.003822804659376103,0.00549015819575128,-9.804927364908645,1.0,0.0,0.0,0.0,0.9776095128874815,-0.13408250496666402,0.16120011334784468,0.017777672243789955,0.0,0.0,0.0011109624505394324,-0.00021143206678192247,0.0,0.0,0.0
0.0625,0.0,0.0,-9.81,0.005717701261737763,0.004402123635261899,-9.804908398783603,1.0,0.0,0.0,0.0,0.9833264600588031,-0.09000363294720866,0.15157302410889317,0.04465464552554781,0.0,0.0,0.001019527693910617,-0.00026122418673966085,0.0,0.0,0.0
0.065,0.0,0.0,-9.81,0.005641319893699555,0.004540899122749279,-9.804557375545395,1.0,0.0,0.0,0.0,0.9867256685756253,-0.10096483942012148,0.12258089004508885,0.03394821896076675,0.0,0.0,0.0010711955396375903,-0.00027793780690149963,0.0,0.0,0.0
0.0675,0.0,0.0,-9.81,0.004125913167364551,0.00447768562259291,-9.805544305501236,1.0,0.0,0.0,0.0,0.9779914324987763,-0.1557721853781282,0.1326967333616401,0.0407352571694777,0.0,0.0,0.0010814177796380881,-0.00016621129697642618,0.0,0.0,0.0
0.07,0.0,0.0,-9.81,0.0034974967371417,0.005478166609884629,-9.805647486554419,1.0,0.0,0.0,0.0,0.9680129124161113,-0.20914307313208458,0.13679267556642125,0.022314575235153115,0.0,0.0,0.001050489383018664,-0.0001937873049015472,0.0,0.0,0.0
0.0725,0.0,0.0,-9.81,0.0049197055777424874,0.005470838817532254,-9.804569432805813,1.0,0.0,0.0,0.0,0.960046883279882,-0.2049194382929116,0.1900837990257471,0.013643865370245256,0.0,0.0,0.0010077093390329108,-0.0002620207801584658,0.0,0.0,0.0
0.075,0.0,0.0,-9.81,0.005688158273260969,0.004789082584732408,-9.805593222113275,1.0,0.0,0.0,0.0,0.9549861922461812,-0.20526642258315939,0.2044892557370874,0.06364913720659252,0.0,0.0,0.0011043459247852383,-0.00021379171149898084,0.0,0.0,0.0
0.0775,0.0,0.0,-9.81,0.004811171665763168,0.0029190073712313984,-9.806798251380041,1.0,0.0,0.0,0.0,0.9506704111668765,-0.18606981452608137,0.24731294654324143,0.020978558723881435,0.0,0.0,0.0011330639308591037,-0.00020294667689429302,0.0,0.0,0.0
0.08,0.0,0.0,-9.81,0.003348182556258868,0.0037312404839130557,-9.804624465735147,1.0,0.0,0.0,0.0,0.9450102125117654,-0.22273171108461517,0.2378192857051522,-0.028076154873460758,0.0,0.0,0.0010775649921388822,-0.0002686949242452753,0.0,0.0,0.0
0.0825,0.0,0.0,-9.81,0.003839251151841208,0.004459902673895638,-9.803565808293506,1.0,0.0,0.0,0.0,0.954282392521365,-0.2274391824154982,0.18342378326976735,-0.06302578327061421,0.0,0.0,0.0011407477063157649,-0.00025450291201925795,0.0,0.0,0.0
0.085,0.0,0.0,-9.81,0.0044856773060607015,0.005773055824085761,-9.806193868009371,1.0,0.0,0.0,0.0,0.9479369819379375,-0.19431166439369607,0.2492699264716224,0.03902510873499328,0.0,0.0,0.00102902941452913,-0.00030382502075713367,0.0,0.0,0.0
0.08750000000000001,0.0,0.0,-9.81,0.0046631999943897995,0.003786824041370245,-9.805494041930334,1.0,0.0,0.0,0.0,0.9569722311500372,-0.22788116853172283,0.1730675951787212,0.048186401975980515,0.0,0.0,0.0010476817851067031,-0.00021845496530558168,0.0,0.0,0.0
0.09,0.0,0.0,-9.81,0.005894042677787354,0.002871943861902605,-9.804583683371547,1.0,0.0,0.0,0.0,0.9547424386058995,-0.24943679936015328,0.1557950566379048,0.044452889411318766,0.0,0.0,0.0011032815883258765,-0.00020833251239594654,0.0,0.0,0.0
